descendant	ancestor	display
374306003	108712009	Rimantadine hydrochloride 100 mg oral tablet
768703006	108712009	Rimantadine-containing product in oral dose form
777444008	108712009	Rimantadine only product
780377002	108712009	Rimantadine only product in oral dose form
784592008	108712009	Rimantadine hydrochloride 10 mg/mL oral solution
94704006	109989006	Multiple myeloma in remission
95209008	109989006	Plasma cell leukemia in remission
95210003	109989006	Plasma cell leukemia
277579002	109989006	Light chain myeloma
277580004	109989006	Non-secretory myeloma
285420006	109989006	IgA myeloma
285421005	109989006	IgG myeloma
285422003	109989006	Immunoglobulin D myeloma
313427003	109989006	Lambda light chain myeloma
413587002	109989006	Smoldering myeloma
414553000	109989006	Kappa light chain myeloma
415110002	109989006	Plasma cell myeloma/plasmacytoma
425657001	109989006	Osteosclerotic myeloma
440422002	109989006	Asymptomatic multiple myeloma
441313008	109989006	Indolent multiple myeloma
739301006	109989006	Osteoporosis co-occurrent and due to multiple myeloma
241154007	111354009	Abdominal angina
777969004	116100000	Zanamivir only product
1172445003	116100000	Zanamivir 10 mg/mL solution for infusion
1172446002	116100000	Zanamivir-containing product in parenteral dose form
1172447006	116100000	Zanamivir only product in parenteral dose form
3320000	116859006	Autotransfusion
11397000	116859006	Autotransfusion of whole blood
12719002	116859006	Platelet transfusion
13569004	116859006	Transfusion of plasma
19647005	116859006	Therapeutic plasmapheresis using plasma as the major replacement fluid
33389009	116859006	Transfusion of whole blood
35108008	116859006	Transfusion of leukocytes
39188002	116859006	Exchange transfusion
45460008	116859006	Intrauterine transfusion
54790000	116859006	Transfusion of blood component
71493000	116859006	Transfusion of packed red blood cells
74287006	116859006	Transfusion of coagulation factors
116788004	116859006	Transfusion of albumin
116795008	116859006	Transfusion of cryoprecipitate
116797000	116859006	Transfusion of factor IX
116798005	116859006	Transfusion of factor VII
116808005	116859006	Transfusion of cryo-poor plasma
116810007	116859006	Transfusion of plateletpheresis product
116861002	116859006	Transfusion of fresh frozen plasma
116863004	116859006	Transfusion of red blood cells
117066004	116859006	Autotransfusion of red cells
117078000	116859006	Transfusion of platelet concentrate
177086003	116859006	Fetoscopic blood transfusion of fetus
180202002	116859006	Neonatal exchange transfusion
180206004	116859006	Intra-arterial blood transfusion
180207008	116859006	Intravenous blood transfusion of packed cells
180208003	116859006	Intravenous blood transfusion of platelets
182752001	116859006	Indirect blood exchange
225067007	116859006	Therapeutic plasma exchange
225068002	116859006	Red cell exchange transfusion
225284006	116859006	Transfusing whole blood under pressure
233558007	116859006	Dilutional exchange transfusion
233559004	116859006	Adult exchange transfusion
233560009	116859006	Percutaneous intraperitoneal fetal blood transfusion
233561008	116859006	Percutaneous intravascular fetal blood transfusion
233562001	116859006	Intra-osseous infusion
233563006	116859006	Hypertransfusion
274501008	116859006	Serum transfusion
274502001	116859006	Antihemophilic factor transfusion
277360004	116859006	Massive blood transfusion
287954004	116859006	Intrauterine exchange transfusion
287987000	116859006	Cut-down blood transfusion
288170000	116859006	Packed blood cell transfusion
301842006	116859006	Intravenous blood transfusion
425513008	116859006	Transfusion of leucoreduced red blood cells
425524005	116859006	Transfusion antithrombin III factor
426290002	116859006	Transfusion of washed red blood cells
438567008	116859006	Intrauterine fetal transfusion using ultrasound guidance
449017001	116859006	Autologous transfusion of blood components
1156747007	116859006	Transfusion of convalescent plasma into peripheral vein
1156748002	116859006	Transfusion of convalescent plasma into central vein
1156868003	116859006	Transfusion of convalescent plasma
1296797000	116859006	Neonatal partial exchange transfusion
