observation	title	code	cdc_text	edition	version	inactive	effectiveTime	preferred_term
003	Immunocompromised	370388006	Patient Immunocompromised	International	20250201	False	None	Patient immunocompromised
004	Recipient of a hematopoietic stem cell transplant	234336002	Hemopoietic stem cell transplant [procedure]	International	20250201	False	None	Hemopoietic stem cell transplant
004	Recipient of a hematopoietic stem cell transplant	23719005	Transplantation of bone marrow [procedure]	International	20250201	False	None	Transplantation of bone marrow
005	Hepatitis C virus infection	50711007	Viral hepatitis type C [disorder]	International	20250201	False	None	Viral hepatitis C
007	Pregnant	77386006	Patient currently pregnant [finding]	International	20250201	False	None	Pregnancy
007	Pregnant	102874004	Possible pregnancy [finding]	International	20250201	True	None	Possible pregnancy
007	Pregnant	255409004	Pregnant woman [person]	International	20250201	True	None	Pregnant woman
009	Breastfeeding	413712001	Breastfeeding [mother] [observable entity]	International	20250201	False	None	Breastfeeding (mother)
010	Cerebrospinal fluid leaks	230744007	Cerebrospinal fluid leak [disorder]	International	20250201	False	None	Cerebrospinal fluid leak
011	Cochlear implants	449840001	Cochlear prosthesis in situ [finding]	International	20250201	False	None	Cochlear prosthesis in situ
011	Cochlear implants	43252007	Cochlear prosthesis, device [physical object]	International	20250201	False	None	Cochlear prosthesis
011	Cochlear implants	359612003	Implantation of cochlear prosthetic device [procedure]	International	20250201	False	None	Implantation of cochlear prosthetic device
013	Severe Combined Immunodeficiency [SCID]	31323000	Severe combined immunodeficiency disease [disorder]	International	20250201	False	None	Severe combined immunodeficiency disease
014	Diabetes	73211009	Diabetes mellitus [disorder]	International	20250201	False	None	Diabetes mellitus
015	Chronic liver disease	328383001	Chronic liver disease [disorder]	International	20250201	False	None	Chronic liver disease
015	Chronic liver disease	19943007	Cirrhosis of liver [disorder]	International	20250201	False	None	Cirrhosis of liver
016	Chronic heart disease	128238001	Chronic heart disease [disorder]	International	20250201	False	None	Chronic heart disease
016	Chronic heart disease	42343007	Congestive heart failure [disorder]	International	20250201	False	None	Congestive heart failure
016	Chronic heart disease	57809008	Myocardial disease [disorder]	International	20250201	False	None	Myocardial disease
016	Chronic heart disease	12770006	Cyanotic congenital heart disease [disorder]	International	20250201	False	None	Cyanotic congenital heart disease
016	Chronic heart disease	53741008	Coronary arteriosclerosis [disorder]	International	20250201	False	None	Coronary arteriosclerosis
016	Chronic heart disease	79619009	Mitral valve stenosis [disorder]	International	20250201	False	None	Mitral valve stenosis
016	Chronic heart disease	698247007	Cardiac arrhythmia [disorder]	International	20250201	False	None	Cardiac arrhythmia
017	Chronic lung disease	413839001	Chronic lung disease [disorder]	International	20250201	False	None	Chronic lung disease
