query	count	code	display
meningococcal serogroup B	200	102002	Hemoglobin Okaloosa
meningococcal serogroup B	200	103007	Squirrel fibroma virus
meningococcal serogroup B	200	107008	Structure of fetal part of placenta
meningococcal serogroup B	200	108003	Entire condylar emissary vein
meningococcal serogroup B	200	110001	Structure of visceral layer of Bowman's capsule
meningococcal serogroup B	200	111002	Parathyroid structure
meningococcal serogroup B	200	112009	Bembrops anatirostris
meningococcal serogroup B	200	115006	Removable appliance therapy
meningococcal serogroup B	200	116007	Subcutaneous tissue structure of medial surface of index finger
meningococcal serogroup B	200	117003	Rhipicephalus sanguineus
meningococcal serogroup B	200	118008	Black buffalo weaver
meningococcal serogroup B	200	119000	Thoracoscopic partial lobectomy of lung
meningococcal serogroup B	200	120006	Ornithine racemase
meningococcal serogroup B	200	124002	Structure of coronoid process of mandible
meningococcal serogroup B	200	125001	Ferrous (59-Fe) sulfate
meningococcal serogroup B	200	126000	Galactosyl-N-acetylglucosaminylgalactosylglucosylceramide alpha-galactosyltransferase
meningococcal serogroup B	200	127009	Miscarriage with laceration of cervix
meningococcal serogroup B	200	130002	Hemoglobin Hopkins-II
meningococcal serogroup B	200	131003	Dolichyl-phosphate mannosyltransferase
meningococcal serogroup B	200	132005	Serraniculus pumilio
meningococcal serogroup B	200	135007	Arthrotomy of wrist joint with exploration and biopsy
meningococcal serogroup B	200	136008	Acacia erioloba
meningococcal serogroup B	200	145009	Colloid milium
meningococcal serogroup B	200	146005	Repair of nonunion of metatarsal with bone graft
meningococcal serogroup B	200	149003	Central pair of microtubules, cilium or flagellum, not bacterial
meningococcal serogroup B	200	150003	Abnormal urinary bladder continence
meningococcal serogroup B	200	154007	Rubber molding-press operator
meningococcal serogroup B	200	155008	Structure of deep circumflex iliac artery
meningococcal serogroup B	200	156009	Spine board
meningococcal serogroup B	200	158005	Salmonella Irumu
meningococcal serogroup B	200	159002	Ferrocyanide salt
meningococcal serogroup B	200	161006	Thermal injury
meningococcal serogroup B	200	162004	Severe manic bipolar I disorder without psychotic features
meningococcal serogroup B	200	163009	Bacteroides stercoris
meningococcal serogroup B	200	164003	Phosphoenolpyruvate-protein phosphotransferase
meningococcal serogroup B	200	166001	Behavioral therapy
meningococcal serogroup B	200	167005	Structure of supraclavicular part of brachial plexus
meningococcal serogroup B	200	171008	Injury of ascending right colon without open wound into abdominal cavity
meningococcal serogroup B	200	173006	Banded pipefish
meningococcal serogroup B	200	174000	Harrison-Richardson operation on vagina
meningococcal serogroup B	200	175004	Supraorbital neuralgia
meningococcal serogroup B	200	177007	Poisoning by sawfly larvae
meningococcal serogroup B	200	178002	Uridine diphosphate galactose
meningococcal serogroup B	200	180008	Fijivirus
meningococcal serogroup B	200	181007	Hemorrhagic bronchopneumonia
meningococcal serogroup B	200	182000	Canalization
meningococcal serogroup B	200	186002	HLA-Cw9 antigen
meningococcal serogroup B	200	187006	Cyanocobalamin (57-Co)
meningococcal serogroup B	200	193003	Benign hypertensive renal disease
meningococcal serogroup B	200	198007	Disease caused by Filoviridae
meningococcal serogroup B	200	200001	Berberine
meningococcal serogroup B	200	201002	Oligopus claudei
meningococcal serogroup B	200	202009	Structure of anterior division of renal artery
meningococcal serogroup B	200	205006	Entire left commissure of aortic valve
meningococcal serogroup B	200	206007	Structure of gluteus maximus muscle
meningococcal serogroup B	200	207003	European edible frog
meningococcal serogroup B	200	210005	Arrow
meningococcal serogroup B	200	217008	Blood group antigen IH
meningococcal serogroup B	200	218003	Ophidion holbrooki
meningococcal serogroup B	200	221001	Structure of articular surface, phalanges, of fourth metacarpal bone
meningococcal serogroup B	200	222008	Acute epiglottitis with obstruction
meningococcal serogroup B	200	223003	Tumor of body of uterus affecting pregnancy
meningococcal serogroup B	200	227002	Canal of Hering
meningococcal serogroup B	200	231008	3-hydroxyisobutyrate dehydrogenase
meningococcal serogroup B	200	232001	Congenital fold
meningococcal serogroup B	200	233006	Structure of hepatocolic ligament
meningococcal serogroup B	200	235004	Structure of superior labial artery
meningococcal serogroup B	200	238002	Heptachlor
meningococcal serogroup B	200	241006	Epilepsia partialis continua
meningococcal serogroup B	200	243009	Replacement of cerebral ventricular tube
meningococcal serogroup B	200	246001	Structure of lateral vestibular nucleus
meningococcal serogroup B	200	247005	Structure of mesotympanum
meningococcal serogroup B	200	248000	Infectious bursal disease virus
meningococcal serogroup B	200	251007	Pectoral region structure
meningococcal serogroup B	200	252000	Acinetobacter johnsonii
meningococcal serogroup B	200	255003	Calcified nodule
meningococcal serogroup B	200	259009	Fibrous body
meningococcal serogroup B	200	260004	Indigo bunting
meningococcal serogroup B	200	261000	Codeine phosphate
meningococcal serogroup B	200	263002	Structure of thoracic spinal nerve
meningococcal serogroup B	200	264008	Blind hypertensive eye
meningococcal serogroup B	200	266005	Structure of lower lobe of right lung
meningococcal serogroup B	200	271003	Bone plate
meningococcal serogroup B	200	272005	Structure of superior articular process of lumbar vertebra
meningococcal serogroup B	200	273000	Structure of lateral myocardium
meningococcal serogroup B	200	276008	Poisoning by oxytocin
meningococcal serogroup B	200	277004	Antbird
meningococcal serogroup B	200	280003	Salmonella Limete
meningococcal serogroup B	200	283001	Structure of central axillary lymph node
meningococcal serogroup B	200	284007	Entire flexor tendon and tendon sheath within fourth toe
meningococcal serogroup B	200	287000	Air receiver
meningococcal serogroup B	200	289002	Metacarpophalangeal joint structure of index finger
meningococcal serogroup B	200	290006	Melnick-Fraser syndrome
meningococcal serogroup B	200	291005	Atomizer
meningococcal serogroup B	200	292003	EEG finding
meningococcal serogroup B	200	294002	Excisional biopsy of joint structure of spine
meningococcal serogroup B	200	295001	Nonexcisional destruction of cyst of ciliary body
meningococcal serogroup B	200	296000	Coumachlor
meningococcal serogroup B	200	301000	Fifth metatarsal structure
meningococcal serogroup B	200	305009	Genus Malaclemys
meningococcal serogroup B	200	310008	Boil of penis
meningococcal serogroup B	200	311007	Structure of plantar surface of great toe
meningococcal serogroup B	200	312000	Salmonella Amba
meningococcal serogroup B	200	315003	Skin structure of umbilicus
meningococcal serogroup B	200	318001	Structure of cardiac impression of liver
meningococcal serogroup B	200	325008	Eimeria bovis
meningococcal serogroup B	200	327000	Arsenic-76
meningococcal serogroup B	200	328005	Follicular papule
meningococcal serogroup B	200	329002	Antimony-127
meningococcal serogroup B	200	331006	Hospital-based outpatient rheumatology clinic
meningococcal serogroup B	200	334003	Panorex examination of mandible
meningococcal serogroup B	200	336001	Fibrinogen Tokyo II
meningococcal serogroup B	200	338000	Black-headed oriole
meningococcal serogroup B	200	339008	Blister
meningococcal serogroup B	200	340005	Enzyme variant
meningococcal serogroup B	200	341009	ABO incompatibility reaction
meningococcal serogroup B	200	342002	Amobarbital interview
meningococcal serogroup B	200	344001	Ankle region structure
meningococcal serogroup B	200	345000	Atrioventricular bundle structure
meningococcal serogroup B	200	349006	Absent tendon reflex
meningococcal serogroup B	200	352003	Preparation of antibody sensitized pooled reagent red blood cells
meningococcal serogroup B	200	354002	Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation
meningococcal serogroup B	200	356000	Reticular corium
meningococcal serogroup B	200	357009	Closed fracture of trapezoidal bone of wrist
meningococcal serogroup B	200	363000	Fibrinogen San Juan
meningococcal serogroup B	200	365007	Circaseptan biorhythm
meningococcal serogroup B	200	367004	Clubbing
meningococcal serogroup B	200	370000	Beta>2S< glycoprotein
meningococcal serogroup B	200	371001	Acylcarnitine hydrolase
meningococcal serogroup B	200	372008	Trichophyton rubrum
meningococcal serogroup B	200	375005	Sibling
meningococcal serogroup B	200	377002	Sparteine
meningococcal serogroup B	200	378007	Morquio syndrome
meningococcal serogroup B	200	381002	Mansonia pertubans
meningococcal serogroup B	200	388008	Blepharorrhaphy
meningococcal serogroup B	200	389000	Tobramycin measurement
meningococcal serogroup B	200	390009	Ophidion beani
meningococcal serogroup B	200	392001	Gadolinium-151
meningococcal serogroup B	200	393006	Structure of wall of urinary bladder
meningococcal serogroup B	200	394000	Abnormal trabeculation
meningococcal serogroup B	200	395004	Immunoglobulin pentamer
meningococcal serogroup B	200	397007	Hippeastrum equestre
meningococcal serogroup B	200	398002	Left axis deviation greater than -90 degrees by EKG
meningococcal serogroup B	200	399005	Blaberus craniifer
meningococcal serogroup B	200	401004	Distal subtotal pancreatectomy
meningococcal serogroup B	200	402006	Structure of dental branch of inferior alveolar artery
meningococcal serogroup B	200	404007	Brama japonica
meningococcal serogroup B	200	405008	Entire posterior temporal diploic vein
meningococcal serogroup B	200	412004	Ribose-5-phosphate isomerase
meningococcal serogroup B	200	413009	Photophosphorylation
meningococcal serogroup B	200	414003	Gastric fundus structure
meningococcal serogroup B	200	419008	Functional dilatation
meningococcal serogroup B	200	420002	Anastomosis, heterocladic
