# CVX http://hl7.org/fhir/sid/cvx|20250715, 287 concepts, from tx.fhir.org $expand
code	display
01	DTP
02	OPV, trivalent
03	MMR
04	M/R
05	measles
06	rubella
07	mumps
08	Hep B, adolescent or pediatric
09	Td (adult), 2 Lf tetanus toxoid, preservative free, adsorbed
10	IPV
11	pertussis
12	diphtheria antitoxin
13	TIG
14	IG, unspecified formulation
15	influenza, split (incl. purified surface antigen)
16	influenza, whole
17	Hib, unspecified formulation
18	rabies, intramuscular injection
19	BCG
20	DTaP
21	varicella
22	DTP-Hib
23	plague
24	Anthrax, pre-exposure prophylaxis, post-exposure prophylaxis
25	typhoid, oral
26	cholera, unspecified formulation
27	botulinum antitoxin
28	DT (pediatric)
29	CMVIG
30	HBIG
31	Hep A, pediatric, unspecified formulation
32	meningococcal MPSV4
33	pneumococcal polysaccharide PPV23
34	RIG
35	tetanus toxoid, adsorbed
36	VZIG
37	yellow fever live
38	rubella/mumps
39	Japanese encephalitis SC
40	rabies, intradermal injection
41	typhoid, parenteral
42	Hep B, adolescent/high risk infant
43	Hep B, adult
44	Hep B, high-dosage, dialysis or IC
45	Hep B, unspecified formulation
46	Hib (PRP-D)
47	Hib (HbOC)
48	Hib (PRP-T)
49	Hib (PRP-OMP)
50	DTaP-Hib
51	Hib-Hep B
52	Hep A, adult
53	typhoid, parenteral, AKD (U.S. military)
54	adenovirus, type 4
55	adenovirus, type 7
56	dengue fever tetravalent
57	hantavirus
58	Hep C
59	Hep E
60	herpes simplex 2
61	HIV
62	HPV, quadrivalent
63	Junin virus
64	leishmaniasis
65	leprosy
66	Lyme disease
67	malaria
68	melanoma
69	parainfluenza-3
70	Q fever
71	RSV-IGIV
72	rheumatic fever
73	Rift Valley fever
74	rotavirus, tetravalent
75	Vaccinia (smallpox, mpox), live
76	Staphylococcus bacterio lysate
77	Tick-borne encephalitis vaccine (non-US)
78	tularemia vaccine
79	vaccinia immune globulin
80	VEE, live
81	VEE, inactivated
82	adenovirus, unspecified formulation
83	Hep A, ped/adol, 2 dose
84	Hep A, ped/adol, 3 dose
85	Hep A, unspecified formulation
86	IG
87	IGIV
88	influenza, unspecified formulation
89	polio, unspecified formulation
